SN,Movie,Worldwide,India Net,India Gross,Overseas,Budget,Verdict
379,Thank God,48.99,36.35,42.49,6.5,70,Flop
380,Mr. & Mrs. Mahi,51.95,36.34,42.45,9.5,1,None
381,Maa,49.96,36.27,43.46,6.5,1,None
382,Fukrey,50.7,36.25,48.94,1.76,17,Hit
383,Mastizaade,51,36.16,48.74,2.26,30,Average
384,Bunty Aur Babli,62.93,36.11,50.51,12.42,12,SuperHit
385,Tumhari Sulu,50.76,36.09,46.27,4.49,17,Hit
386,Bullett Raja,53.6,36.05,48.67,4.93,51,Flop
387,Ramaiya Vastavaiya,50,36,48.6,1.4,38,Flop
388,Ghayal Once Again,57.6,35.74,48.25,9.35,50,Flop
389,Yodha,53.68,35.74,42.18,11.5,1,None
390,Force 2,58.7,35.7,48.2,10.5,40,Flop
391,Mardaani,59.3,35.65,48.11,11.19,20,Hit
392,Finding Fanny,63.54,35.61,48.07,15.47,25,Average
393,Runway 34,50.7,35.49,41.7,9,60,Flop
394,Vicky Donor,54.66,35.32,47.68,6.98,10,Hit
395,Badmaash Company,50.96,34.98,47.22,3.74,20,Above Average
396,Chhapaak,55.5,34.93,40.5,15,50,Flop
397,Dil To Pagal Hai,58.61,34.89,47.24,11.37,9,Blockbuster
398,Godzilla x Kong: The New Empire,4566.06,34.7,134.41,2990,1,None
399,The Sabarmati Report,41.07,34.58,41.07,0,1,None
400,English Vinglish,83.6,34.52,46.6,37,20,Hit
401,Judgementall Hai Kya,49.5,34.45,41.1,8.4,35,Average
402,Hamari Adhuri Kahani,51.9,34.43,46.14,5.76,38,Below Average
403,Deva,56.32,34.37,40.82,15.5,1,None
404,Lagaan: Once Upon a Time in India,58.05,34.35,46.39,11.66,25,Hit
405,Bareilly Ki Barfi,58.62,34.27,47.86,10.76,20,Hit
406,Mission Raniganj,46,34.17,40.4,5.6,1,None
407,Sarkar Raj,57.95,34.05,45.97,11.98,25,Average
408,Yamla Pagla Deewana 2,48.4,33.97,45.86,2.54,30,Average
409,Mission Impossible – Dead Reckoning Part One,4725,33.89,131.25,3290,1,SuperHit
410,Panipat,49,33.87,40,9,80,Disaster
411,The Conjuring: Last Rites,3140,33.61,96.5,1940,1,None
412,Hero,49,33.47,45.19,3.81,32,Average
413,Bell Bottom,53.7,33.31,39.4,14.3,180,Flop
414,Azhar,50.1,33.16,44.64,5.46,38,Flop
415,Kill Dil,58.6,33.12,44.71,13.89,40,Flop
416,Dhamaal,51.3,33.06,45.6,5.7,17,Hit
